brand,kilometers,model,transmission,year
Renault,110000.0,Trafic,Mecánica,2018.0
Renault,52000.0,Logan,Automática,2018.0
Renault,33800.0,Sandero,Automática,2018.0
Chevrolet,37000.0,Spark GT,Mecánica,2018.0
Ford,42000.0,Escape,Automática,2018.0
Ford,5300.0,Fiesta,Automática,2018.0
Mazda,30800.0,3,Automática,2018.0
Volkswagen,33500.0,Voyage,Mecánica,2018.0
Chevrolet,50000.0,Equinox,Automática,2018.0
Kia,50800.0,Rio,Mecánica,2018.0
Volkswagen,35000.0,Voyage,Mecánica,2018.0
Kia,74500.0,Picanto,Mecánica,2018.0
Chevrolet,43000.0,Sail LT,Mecánica,2018.0
Chevrolet,70000.0,Spark GT,Automática,2018.0
Nissan,53000.0,Frontier,Mecánica,2018.0
Toyota,42000.0,SW4,Automática,2018.0
Mazda,24020.0,CX-5,Automática,2018.0
Renault,75000.0,Logan,Automática,2018.0
Honda,10500.0,CR-V,Automática,2018.0
Renault,28000.0,Duster,Automática,2018.0
Audi,16000.0,Q5,Automática,2018.0
Audi,67200.0,Q5,Automática,2018.0
Kia,60000.0,Rio,Mecánica,2018.0
Renault,51200.0,Sandero,Mecánica,2018.0
Toyota,55000.0,Prado,Automática,2018.0
Renault,54000.0,ALASKAN,Automática,2018.0
Nissan,168000.0,Frontier,Mecánica,2018.0
Chevrolet,34700.0,2018,Automática,2018.0
Volkswagen,40000.0,Crossfox,Automática,2018.0
Mazda,31000.0,3,Automática,2018.0
Mitsubishi,45000.0,MONTERO SPORT,Automática,2018.0
Chevrolet,41000.0,Tracker,Mecánica,2018.0
Audi,55000.0,Q3,Automática,2018.0
Toyota,24000.0,Fortuner,Automática,2018.0
Renault,30458.0,Sandero,Automática,2018.0
Kia,24616.0,CERATO PRO,Automática,2018.0
Citroën,30700.0,C3,Automática,2018.0
Audi,83500.0,A4,Mecánica,2012.0
Mitsubishi,159800.0,Montero,Automática,2012.0
Chevrolet,96450.0,Aveo,Mecánica,2012.0
Chevrolet,83000.0,Captiva,Automática,2012.0
Chevrolet,102000.0,Aveo,Mecánica,2012.0
